"VariableName","Value","ValueLabel"
"FIPS state code (HD2019)","1","Alabama"
"FIPS state code (HD2019)","2","Alaska"
"FIPS state code (HD2019)","4","Arizona"
"FIPS state code (HD2019)","5","Arkansas"
"FIPS state code (HD2019)","6","California"
"FIPS state code (HD2019)","8","Colorado"
"FIPS state code (HD2019)","9","Connecticut"
"FIPS state code (HD2019)","10","Delaware"
"FIPS state code (HD2019)","11","District of Columbia"
"FIPS state code (HD2019)","12","Florida"
"FIPS state code (HD2019)","13","Georgia"
"FIPS state code (HD2019)","15","Hawaii"
"FIPS state code (HD2019)","16","Idaho"
"FIPS state code (HD2019)","17","Illinois"
"FIPS state code (HD2019)","18","Indiana"
"FIPS state code (HD2019)","19","Iowa"
"FIPS state code (HD2019)","20","Kansas"
"FIPS state code (HD2019)","21","Kentucky"
"FIPS state code (HD2019)","22","Louisiana"
"FIPS state code (HD2019)","23","Maine"
"FIPS state code (HD2019)","24","Maryland"
"FIPS state code (HD2019)","25","Massachusetts"
"FIPS state code (HD2019)","26","Michigan"
"FIPS state code (HD2019)","27","Minnesota"
"FIPS state code (HD2019)","28","Mississippi"
"FIPS state code (HD2019)","29","Missouri"
"FIPS state code (HD2019)","30","Montana"
"FIPS state code (HD2019)","31","Nebraska"
"FIPS state code (HD2019)","32","Nevada"
"FIPS state code (HD2019)","33","New Hampshire"
"FIPS state code (HD2019)","34","New Jersey"
"FIPS state code (HD2019)","35","New Mexico"
"FIPS state code (HD2019)","36","New York"
"FIPS state code (HD2019)","37","North Carolina"
"FIPS state code (HD2019)","38","North Dakota"
"FIPS state code (HD2019)","39","Ohio"
"FIPS state code (HD2019)","40","Oklahoma"
"FIPS state code (HD2019)","41","Oregon"
"FIPS state code (HD2019)","42","Pennsylvania"
"FIPS state code (HD2019)","44","Rhode Island"
"FIPS state code (HD2019)","45","South Carolina"
"FIPS state code (HD2019)","46","South Dakota"
"FIPS state code (HD2019)","47","Tennessee"
"FIPS state code (HD2019)","48","Texas"
"FIPS state code (HD2019)","49","Utah"
"FIPS state code (HD2019)","50","Vermont"
"FIPS state code (HD2019)","51","Virginia"
"FIPS state code (HD2019)","53","Washington"
"FIPS state code (HD2019)","54","West Virginia"
"FIPS state code (HD2019)","55","Wisconsin"
"FIPS state code (HD2019)","56","Wyoming"
"Fips County code (HD2019)","13115","Floyd County, GA"
"Fips County code (HD2019)","13117","Forsyth County, GA"
"Fips County code (HD2019)","13119","Franklin County, GA"
"Fips County code (HD2019)","13121","Fulton County, GA"
"Fips County code (HD2019)","13127","Glynn County, GA"
"Fips County code (HD2019)","13135","Gwinnett County, GA"
"Fips County code (HD2019)","13137","Habersham County, GA"
"Fips County code (HD2019)","13139","Hall County, GA"
"Fips County code (HD2019)","13143","Haralson County, GA"
"Fips County code (HD2019)","13153","Houston County, GA"
"Fips County code (HD2019)","13171","Lamar County, GA"
"Fips County code (HD2019)","13185","Lowndes County, GA"
"Fips County code (HD2019)","13187","Lumpkin County, GA"
"Fips County code (HD2019)","13209","Montgomery County, GA"
"Fips County code (HD2019)","13215","Muscogee County, GA"
"Fips County code (HD2019)","13217","Newton County, GA"
"Fips County code (HD2019)","13223","Paulding County, GA"
"Fips County code (HD2019)","13225","Peach County, GA"
"Fips County code (HD2019)","13243","Randolph County, GA"
"Fips County code (HD2019)","13245","Richmond County, GA"
"Fips County code (HD2019)","13247","Rockdale County, GA"
"Fips County code (HD2019)","13255","Spalding County, GA"
"Fips County code (HD2019)","13257","Stephens County, GA"
"Fips County code (HD2019)","13261","Sumter County, GA"
"Fips County code (HD2019)","13275","Thomas County, GA"
"Fips County code (HD2019)","13277","Tift County, GA"
"Fips County code (HD2019)","13279","Toombs County, GA"
"Fips County code (HD2019)","20115","Marion County, KS"
"Fips County code (HD2019)","20123","Mitchell County, KS"
"Fips County code (HD2019)","20125","Montgomery County, KS"
"Fips County code (HD2019)","20133","Neosho County, KS"
"Fips County code (HD2019)","20151","Pratt County, KS"
"Fips County code (HD2019)","20155","Reno County, KS"
"Fips County code (HD2019)","20159","Rice County, KS"
"Fips County code (HD2019)","20161","Riley County, KS"
"Fips County code (HD2019)","20169","Saline County, KS"
"Fips County code (HD2019)","20173","Sedgwick County, KS"
"Fips County code (HD2019)","20175","Seward County, KS"
"Fips County code (HD2019)","20177","Shawnee County, KS"
"Fips County code (HD2019)","20181","Sherman County, KS"
"Fips County code (HD2019)","20193","Thomas County, KS"
"Fips County code (HD2019)","20209","Wyandotte County, KS"
"Fips County code (HD2019)","21001","Adair County, KY"
"Fips County code (HD2019)","21009","Barren County, KY"
"Fips County code (HD2019)","21013","Bell County, KY"
"Fips County code (HD2019)","21015","Boone County, KY"
